Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Vanceboro,Maine,105,US-Canada Border,01-2002,Buses,0,45.569,-67.429,POINT (-67.428541 45.568761)
Bridgewater,Maine,127,US-Canada Border,04-2022,Personal Vehicles,1113,46.45,-67.785,POINT (-67.78484 46.450335)
Nogales,Arizona,2604,US-Mexico Border,09-2019,Personal Vehicles,285792,31.333,-110.943,POINT (-110.942516 31.332839)
Rio Grande City,Texas,2307,US-Mexico Border,11-2021,Trucks,4293,26.366,-98.803,POINT (-98.802513 26.365761)
Noonan,North Dakota,3420,US-Canada Border,10-2019,Truck Containers Empty,305,48.999,-103.004,POINT (-103.004361 48.999333)
Bridgewater,Maine,127,US-Canada Border,06-2021,Trucks,292,46.45,-67.785,POINT (-67.78484 46.450335)
San Luis,Arizona,2608,US-Mexico Border,01-2020,Trucks,4310,32.485,-114.782,POINT (-114.7822222 32.485)
Trout River,New York,715,US-Canada Border,10-2020,Rail Containers Loaded,1519,44.992,-74.308,POINT (-74.308172 44.992058)
Santa Teresa,New Mexico,2408,US-Mexico Border,08-2021,Truck Containers Loaded,8264,31.784,-106.679,POINT (-106.679437 31.783939)
Hansboro,North Dakota,3415,US-Canada Border,04-2020,Personal Vehicle Passengers,57,49.0,-99.347,POINT (-99.346527 48.999583)
Trout River,New York,715,US-Canada Border,11-2019,Train Passengers,76,44.992,-74.308,POINT (-74.308172 44.992058)
Morgan,Montana,3319,US-Canada Border,01-2002,Trucks,138,49.0,-107.832,POINT (-107.831819 48.999829)
Fort Fairfield,Maine,107,US-Canada Border,05-2021,Personal Vehicles,711,46.765,-67.789,POINT (-67.789471 46.765323)
Frontier,Washington,3020,US-Canada Border,03-2020,Bus Passengers,124,49.0,-117.832,POINT (-117.831527 49.0005)
Alexandria Bay,New York,708,US-Canada Border,09-2021,Truck Containers Empty,1725,44.347,-75.984,POINT (-75.983592 44.347229)
El Paso,Texas,2402,US-Mexico Border,07-2019,Truck Containers Loaded,52429,31.764,-106.451,POINT (-106.451188 31.764363)
Santa Teresa,New Mexico,2408,US-Mexico Border,06-2019,Personal Vehicle Passengers,110576,31.784,-106.679,POINT (-106.679437 31.783939)
Presidio,Texas,2403,US-Mexico Border,06-2021,Trucks,873,29.562,-104.395,POINT (-104.394907 29.561827)
Portal,North Dakota,3403,US-Canada Border,07-2019,Bus Passengers,329,48.999,-102.552,POINT (-102.551944 48.998944)
Port Huron,Michigan,3802,US-Canada Border,02-2022,Rail Containers Empty,15817,42.999,-82.424,POINT (-82.423611 42.998611)
Sault Sainte Marie,Michigan,3803,US-Canada Border,03-2022,Truck Containers Empty,577,46.509,-84.361,POINT (-84.360833 46.508611)
Roma,Texas,2310,US-Mexico Border,06-1996,Buses,310,26.404,-99.019,POINT (-99.018981 26.403928)
Sault Sainte Marie,Michigan,3803,US-Canada Border,01-2021,Buses,1,46.509,-84.361,POINT (-84.360833 46.508611)
Hannah,North Dakota,3408,US-Canada Border,06-2019,Personal Vehicles,84,49.0,-98.694,POINT (-98.693777 49.000138)
Wildhorse,Montana,3323,US-Canada Border,01-2012,Trucks,52,48.999,-110.215,POINT (-110.215083 48.999361)
Opheim,Montana,3317,US-Canada Border,12-2021,Personal Vehicle Passengers,123,49.0,-106.378,POINT (-106.377583 48.999527)
Vanceboro,Maine,105,US-Canada Border,04-2020,Truck Containers Empty,25,45.569,-67.429,POINT (-67.428541 45.568761)
Laurier,Washington,3016,US-Canada Border,08-2021,Trucks,629,49.0,-118.224,POINT (-118.223777 49.000083)
Eastport,Idaho,3302,US-Canada Border,07-2022,Buses,3,49.001,-116.181,POINT (-116.181027 49.000555)
Vanceboro,Maine,105,US-Canada Border,05-2022,Trucks,57,45.569,-67.429,POINT (-67.428541 45.568761)
Hidalgo,Texas,2305,US-Mexico Border,11-2021,Pedestrians,146609,26.095,-98.271,POINT (-98.271092 26.095032)
International Falls,Minnesota,3604,US-Canada Border,02-2021,Truck Containers Loaded,939,48.608,-93.401,POINT (-93.401355 48.6078)
Fort Fairfield,Maine,107,US-Canada Border,08-2022,Truck Containers Empty,594,46.765,-67.789,POINT (-67.789471 46.765323)
Del Rio,Texas,2302,US-Mexico Border,03-2021,Personal Vehicle Passengers,166471,29.327,-100.928,POINT (-100.927612 29.326784)
Van Buren,Maine,108,US-Canada Border,05-2019,Rail Containers Empty,166,47.16,-67.931,POINT (-67.930799 47.159645)
Dunseith,North Dakota,3422,US-Canada Border,11-1998,Trains,0,48.999,-100.052,POINT (-100.052166 48.999277)
Calexico East,California,2507,US-Mexico Border,09-2021,Trains,9,32.673,-115.388,POINT (-115.388018 32.673389)
